id,word,language
510,nussinta,fi
511,paljaalla,fi
512,palli,fi
513,pallit,fi
514,paneskella,fi
515,panettaa,fi
516,panna,fi
517,pano,fi
518,pantava,fi
519,paska,fi
520,paskainen,fi
521,paskamainen,fi
522,paskanmarjat,fi
523,paskantaa,fi
524,paskapuhe,fi
525,paskapää,fi
526,paskattaa,fi
527,paskiainen,fi
528,paskoa,fi
529,pehko,fi
530,pentele,fi
531,perkele,fi
532,perkeleesti,fi
533,persaukinen,fi
534,perse,fi
535,perseennuolija,fi
536,perseet olalla,fi
537,persereikä,fi
538,perseääliö,fi
539,persläpi,fi
540,perspano,fi
541,persvako,fi
542,pilkunnussija,fi
543,pillu,fi
544,pillut,fi
545,pipari,fi
546,piru,fi
547,pistää,fi
548,pyllyvako,fi
549,reikä,fi
550,reva,fi
551,ripsipiirakka,fi
552,runkata,fi
553,runkkari,fi
554,runkkaus,fi
555,runkku,fi
556,ryssä,fi
557,rättipää,fi
558,saatanasti,fi
559,suklaaosasto,fi
560,tavara,fi
561,toosa,fi
562,tuhkaluukku,fi
563,tumputtaa,fi
564,turpasauna,fi
565,tussu,fi
566,tussukka,fi
567,tussut,fi
568,vakipano,fi
569,vetää käteen,fi
570,viiksi,fi
571,vittu,fi
572,vittuilla,fi
573,vittuilu,fi
574,vittumainen,fi
575,vittuuntua,fi
576,vittuuntunut,fi
577,vitun,fi
578,vitusti,fi
579,vituttaa,fi
580,vitutus,fi
581,äpärä,fi
582,baiser,fr
583,bander,fr
584,bigornette,fr
585,bite,fr
586,bitte,fr
587,bloblos,fr
588,bosser,fr
589,bourré,fr
590,bourrée,fr
591,brackmard,fr
592,branlage,fr
593,branler,fr
594,branlette,fr
595,branleur,fr
596,branleuse,fr
597,brouter le cresson,fr
598,cailler,fr
599,chatte,fr
600,chiasse,fr
601,chier,fr
602,chiottes,fr
603,clito,fr
604,con,fr
605,connard,fr
606,connasse,fr
607,conne,fr
608,couilles,fr
609,cramouille,fr
610,cul,fr
611,déconne,fr
612,déconner,fr
613,drague,fr
614,emmerdant,fr
615,emmerder,fr
616,emmerdeur,fr
617,emmerdeuse,fr
618,enculé,fr
619,enculée,fr
620,enculeur,fr
621,enculeurs,fr
622,enfoiré,fr
623,enfoirée,fr
624,étron,fr
625,fille de pute,fr
626,fils de pute,fr
627,folle,fr
628,foutre,fr
629,gerbe,fr
630,gerber,fr
631,gouine,fr
632,grande folle,fr
633,grogniasse,fr
634,gueule,fr
635,jouir,fr
636,la putain de ta mère,fr
637,MALPT,fr
638,ménage à trois,fr
639,merde,fr
640,merdeuse,fr
641,merdeux,fr
642,meuf,fr
643,nègre,fr
644,nique ta mère,fr
645,nique ta race,fr
646,palucher,fr
647,pédale,fr
648,pédé,fr
649,péter,fr
650,pipi,fr
651,pouffiasse,fr
652,pousse-crotte,fr
653,putain,fr
654,pute,fr
655,ramoner,fr
656,sac à merde,fr
657,salaud,fr
658,salope,fr
659,suce,fr
660,tapette,fr
661,teuf,fr
662,tringler,fr
663,trique,fr
664,trou du cul,fr
665,turlute,fr
666,veuve,fr
667,zigounette,fr
668,zizi,fr
673,aand,hi
674,aandu,hi
675,balatkar,hi
676,beti chod,hi
677,bhadva,hi
678,bhadve,hi
679,bhandve,hi
680,bhootni ke,hi
681,bhosad,hi
682,bhosadi ke,hi
683,boobe,hi
684,chakke,hi
685,chinaal,hi
686,chinki,hi
687,chod,hi
688,chodu,hi
689,chodu bhagat,hi
690,chooche,hi
691,choochi,hi
692,choot,hi
693,choot ke baal,hi
694,chootia,hi
695,chootiya,hi
696,chuche,hi
697,chuchi,hi
698,chudai khanaa,hi
699,chudan chudai,hi
700,chut,hi
701,chut ke baal,hi
702,chut ke dhakkan,hi
703,chut maarli,hi
704,chutad,hi
705,chutadd,hi
706,chutan,hi
707,chutia,hi
708,chutiya,hi
709,gaand,hi
710,gaandfat,hi
711,gaandmasti,hi
712,gaandufad,hi
713,gandu,hi
714,gashti,hi
715,gasti,hi
716,ghassa,hi
717,ghasti,hi
718,harami,hi
719,haramzade,hi
720,hawas,hi
721,hawas ke pujari,hi
722,hijda,hi
723,hijra,hi
724,jhant,hi
725,jhant chaatu,hi
726,jhant ke baal,hi
727,jhantu,hi
728,kamine,hi
729,kaminey,hi
730,kanjar,hi
731,kutta,hi
732,kutta kamina,hi
733,kutte ki aulad,hi
734,kutte ki jat,hi
735,kuttiya,hi
736,loda,hi
737,lodu,hi
738,lund,hi
739,lund choos,hi
740,lund khajoor,hi
741,lundtopi,hi
742,lundure,hi
743,maa ki chut,hi
744,maal,hi
745,madar chod,hi
746,mooh mein le,hi
747,mutth,hi
748,najayaz,hi
749,najayaz aulaad,hi
750,najayaz paidaish,hi
751,paki,hi
752,pataka,hi
753,patakha,hi
754,raand,hi
755,randi,hi
756,saala,hi
757,saala kutta,hi
758,saali kutti,hi
759,saali randi,hi
760,suar,hi
761,suar ki aulad,hi
762,tatte,hi
763,tatti,hi
764,teri maa ka bhosada,hi
765,teri maa ka boba chusu,hi
766,teri maa ki chut,hi
767,tharak,hi
768,tharki,hi
769,balfasz,hu
770,balfaszok,hu
771,balfaszokat,hu
772,balfaszt,hu
773,barmok,hu
774,barmokat,hu
775,barmot,hu
776,barom,hu
777,baszik,hu
778,bazmeg,hu
779,buksza,hu
780,bukszák,hu
781,bukszákat,hu
782,bukszát,hu
783,búr,hu
784,búrok,hu
785,csöcs,hu
786,csöcsök,hu
787,csöcsöket,hu
788,csöcsöt,hu
789,fasz,hu
790,faszfej,hu
791,faszfejek,hu
792,faszfejeket,hu
793,faszfejet,hu
794,faszok,hu
795,faszokat,hu
796,faszt,hu
797,fing,hu
798,fingok,hu
799,fingokat,hu
800,fingot,hu
801,franc,hu
802,francok,hu
803,francokat,hu
804,francot,hu
805,geci,hu
806,gecibb,hu
807,gecik,hu
808,geciket,hu
809,gecit,hu
810,kibaszott,hu
811,kibaszottabb,hu
812,kúr,hu
813,kurafi,hu
814,kurafik,hu
815,kurafikat,hu
816,kurafit,hu
817,kurvák,hu
818,kurvákat,hu
819,kurvát,hu
820,leggecibb,hu
821,legkibaszottabb,hu
822,legszarabb,hu
823,marha,hu
824,marhák,hu
825,marhákat,hu
826,marhát,hu
827,megdöglik,hu
828,pele,hu
829,pelék,hu
830,picsa,hu
831,picsákat,hu
832,picsát,hu
833,pina,hu
834,pinák,hu
835,pinákat,hu
836,pinát,hu
837,pofa,hu
838,pofákat,hu
839,pofát,hu
840,pöcs,hu
841,pöcsök,hu
842,pöcsöket,hu
843,pöcsöt,hu
844,punci,hu
845,puncik,hu
846,segg,hu
847,seggek,hu
848,seggeket,hu
849,segget,hu
850,seggfej,hu
851,seggfejek,hu
852,seggfejeket,hu
853,seggfejet,hu
854,szajha,hu
855,szajhák,hu
856,szajhákat,hu
857,szajhát,hu
858,szar,hu
859,szarabb,hu
860,szarik,hu
861,szarok,hu
862,szarokat,hu
863,szart,hu
864,allupato,it
865,ammucchiata,it
866,anale,it
867,arrapato,it
868,arrusa,it
869,arruso,it
870,assatanato,it
871,bagascia,it
872,bagassa,it
873,bagnarsi,it
874,baldracca,it
875,balle,it
876,battere,it
877,battona,it
878,belino,it
879,biga,it
880,bocchinara,it
881,bocchino,it
882,bofilo,it
883,boiata,it
884,bordello,it
885,brinca,it
886,bucaiolo,it
887,budiùlo,it
888,buona donna,it
889,busone,it
890,cacca,it
891,caccati in mano e prenditi a schiaffi,it
892,caciocappella,it
893,cadavere,it
894,cagare,it
895,cagata,it
896,cagna,it
897,cammello,it
898,cappella,it
899,carciofo,it
900,carità,it
901,casci,it
902,cazzata,it
903,cazzimma,it
904,cazzo,it
905,checca,it
906,chiappa,it
907,chiavare,it
908,chiavata,it
909,ciospo,it
910,ciucciami il cazzo,it
911,coglione,it
912,coglioni,it
913,cornuto,it
914,cozza,it
915,culattina,it
916,culattone,it
917,di merda,it
918,ditalino,it
919,duro,it
920,fare unaŠ,it
921,fava,it
922,femminuccia,it
923,fica,it
924,figa,it
925,figlio di buona donna,it
926,figlio di puttana,it
927,figone,it
928,finocchio,it
929,fottere,it
930,fottersi,it
931,fracicone,it
932,fregna,it
933,frocio,it
934,froscio,it
935,fuori come un balcone,it
936,goldone,it
937,grilletto,it
938,guanto,it
939,guardone,it
940,incazzarsi,it
941,incoglionirsi,it
942,ingoio,it
943,l'arte bolognese,it
944,leccaculo,it
945,lecchino,it
946,lofare,it
947,loffa,it
948,loffare,it
949,lumaca,it
950,manico,it
951,mannaggia,it
952,merda,it
953,merdata,it
954,merdoso,it
955,mignotta,it
956,minchia,it
957,minchione,it
958,mona,it
959,monta,it
960,montare,it
961,mussa,it
962,nave scuola,it
963,nerchia,it
964,nudo,it
965,padulo,it
966,palle,it
967,palloso,it
968,patacca,it
969,patonza,it
970,pecorina,it
971,pesce,it
972,picio,it
973,pincare,it
974,pipa,it
975,pippone,it
976,pirla,it
977,pisciare,it
978,piscio,it
979,pisello,it
980,pistola,it
981,pistolotto,it
982,pomiciare,it
983,pompa,it
984,pompino,it
985,porca,it
986,porca madonna,it
987,porca miseria,it
988,porca puttana,it
989,porco due,it
990,porco zio,it
991,potta,it
992,puppami,it
993,puttana,it
994,quaglia,it
995,recchione,it
996,regina,it
997,rincoglionire,it
998,rizzarsi,it
999,rompiballe,it
1000,ruffiano,it
1001,sbattere,it
1002,sbattersi,it
1003,sborra,it
1004,sborrata,it
1005,sborrone,it
1006,sbrodolata,it
1007,scopare,it
1008,scopata,it
1009,scorreggiare,it
1010,sega,it
1011,slinguare,it
1012,slinguata,it
1013,smandrappata,it
1014,soccia,it
1015,socmel,it
1016,sorca,it
1017,spagnola,it
1018,spompinare,it
1019,sticchio,it
1020,stronza,it
1021,stronzata,it
1022,stronzo,it
1023,succhiami,it
1024,sveltina,it
1025,sverginare,it
1026,tarzanello,it
1027,terrone,it
1028,testa di cazzo,it
1029,tette,it
1030,tirare,it
1031,topa,it
1032,troia,it
1033,trombare,it
1034,uccello,it
1035,vacca,it
1036,vaffanculo,it
1037,vangare,it
1038,venire,it
1039,zinne,it
1040,zio cantante,it
1041,zoccola,it
1042,3p,ja
1043,g スポット,ja
1044,s ＆ m,ja
1045,sm,ja
1046,sm女王,ja
1047,xx,ja
1048,アジアのかわいい女の子,ja
1049,アスホール,ja
1050,アナリングス,ja
1051,アナル,ja
1052,いたずら,ja
1053,イラマチオ,ja
1054,ウェブカメラ,ja
1055,エクスタシー,ja
1056,エスコート,ja
1057,エッチ,ja
1058,エロティズム,ja
1059,エロティック,ja
1060,オーガズム,ja
1061,オカマ,ja
1062,おしっこ,ja
1063,おしり,ja
1064,オシリ,ja
1065,おしりのあな,ja
1066,おっぱい,ja
1067,オッパイ,ja
1068,オナニー,ja
1069,オマンコ,ja
1070,おもらし,ja
1071,お尻,ja
1072,カーマスートラ,ja
1073,カント,ja
1074,クリトリス,ja
1075,グループ・セックス,ja
1076,グロ,ja
1077,クンニリングス,ja
1078,ゲイ・セックス,ja
1079,ゲイの男性,ja
1080,ゲイボーイ,ja
1081,ゴールデンシャワー,ja
1082,コカイン,ja
1083,ゴックン,ja
1084,サディズム,ja
1085,しばり,ja
1086,スウィンガー,ja
1087,スカートの中,ja
1088,スカトロ,ja
1089,ストラップオン,ja
1090,ストリップ劇場,ja
1091,スラット,ja
1092,スリット,ja
1093,セクシーな,ja
1094,セクシーな 10 代,ja
1095,セックス,ja
1096,ソドミー,ja
1097,ちんこ,ja
1098,ディープ・スロート,ja
1099,ディック,ja
1100,ディルド,ja
1101,デートレイプ,ja
1102,デブ,ja
1103,テレフォンセックス,ja
1104,ドッグスタイル,ja
1105,トップレス,ja
1106,なめ,ja
1107,ニガー,ja
1108,ヌード,ja
1109,ネオ・ナチ,ja
1110,ハードコア,ja
1111,パイパン,ja
1112,バイブレーター,ja
1113,バック・スタイル,ja
1114,パンティー,ja
1115,ビッチ,ja
1116,ファック,ja
1117,ファンタジー,ja
1118,フィスト,ja
1119,フェティッシュ,ja
1120,フェラチオ,ja
1121,ふたなり,ja
1122,ぶっかけ,ja
1123,フック,ja
1124,プリンス アルバート ピアス,ja
1125,プレイボーイ,ja
1126,ベアバック,ja
1127,ペニス,ja
1128,ペニスバンド,ja
1129,ボーイズラブ,ja
1130,ボールギャグ,ja
1131,ボールを蹴る,ja
1132,ぽっちゃり,ja
1133,ホモ,ja
1134,ポルノ,ja
1135,ポルノグラフィー,ja
1136,ボンテージ,ja
1137,マザー・ファッカー,ja
1138,マスターベーション,ja
1139,まんこ,ja
1140,やおい,ja
1141,やりまん,ja
1142,ユダヤ人,ja
1143,ラティーナ,ja
1144,ラバー,ja
1145,ランジェリー,ja
1146,レイプ,ja
1147,レズビアン,ja
1148,ローター,ja
1149,ロリータ,ja
1150,淫乱,ja
1151,陰毛,ja
1152,革抑制,ja
1153,騎上位,ja
1154,巨根,ja
1155,巨乳,ja
1156,強姦犯,ja
1157,玉なめ,ja
1158,玉舐め,ja
1159,緊縛,ja
1160,近親相姦,ja
1161,嫌い,ja
1162,後背位,ja
1163,合意の性交,ja
1164,拷問,ja
1165,殺し方,ja
1166,殺人事件,ja
1167,殺人方法,ja
1168,支配,ja
1169,児童性虐待,ja
1170,自己愛性,ja
1171,射精,ja
1172,手コキ,ja
1173,獣姦,ja
1174,女の子,ja
1175,女王様,ja
1176,女子高生,ja
1177,女装,ja
1178,新しいポルノ,ja
1179,人妻,ja
1180,人種,ja
1181,性交,ja
1182,正常位,ja
1183,生殖器,ja
1184,精液,ja
1185,挿入,ja
1186,足フェチ,ja
1187,足を広げる,ja
1188,大陰唇,ja
1189,脱衣,ja
1190,茶色のシャワー,ja
1191,中出し,ja
1192,潮吹き女,ja
1193,潮吹き男性,ja
1194,直腸,ja
1195,剃毛,ja
1196,貞操帯,ja
1197,奴隷,ja
1198,二穴,ja
1199,乳首,ja
1200,尿道プレイ,ja
1201,覗き,ja
1202,売春婦,ja
1203,縛り,ja
1204,噴出,ja
1205,糞,ja
1206,糞尿愛好症,ja
1207,糞便,ja
1208,平手打ち,ja
1209,変態,ja
1210,勃起する,ja
1211,夢精,ja
1212,毛深い,ja
1213,誘惑,ja
1214,幼児,ja
1215,幼児性愛者,ja
1216,裸,ja
1217,裸の女性,ja
1218,乱交,ja
1219,両性,ja
1220,両性具有,ja
1221,両刀,ja
1222,輪姦,ja
1223,卍,ja
1224,宦官,ja
1225,肛門,ja
1226,膣,ja
1227,강간,ko
1228,개새끼,ko
1229,개자식,ko
1230,개좆,ko
1231,개차반,ko
1232,거유,ko
1233,계집년,ko
1234,고자,ko
1235,근친,ko
1236,노모,ko
1237,니기미,ko
1238,뒤질래,ko
1239,딸딸이,ko
1240,때씹,ko
1241,또라이,ko
1242,뙤놈,ko
1243,로리타,ko
1244,망가,ko
1245,몰카,ko
1246,미친,ko
1247,미친새끼,ko
1248,바바리맨,ko
1249,변태,ko
1250,병신,ko
1251,보지,ko
1252,불알,ko
1253,빠구리,ko
1254,사까시,ko
1255,섹스,ko
1256,스와핑,ko
1257,쌍놈,ko
1258,씨발,ko
1259,씨발놈,ko
1260,씨팔,ko
1261,씹,ko
1262,씹물,ko
1263,씹빨,ko
1264,씹새끼,ko
1265,씹알,ko
1266,씹창,ko
1267,씹팔,ko
1268,암캐,ko
1269,애자,ko
1270,야동,ko
1271,야사,ko
1272,야애니,ko
1273,엄창,ko
1274,에로,ko
1275,염병,ko
1276,옘병,ko
1277,유모,ko
1278,육갑,ko
1279,은꼴,ko
1280,자위,ko
1281,자지,ko
1282,잡년,ko
1283,종간나,ko
1284,좆,ko
1285,좆만,ko
1286,죽일년,ko
1287,쥐좆,ko
1288,직촬,ko
1289,짱깨,ko
1290,쪽바리,ko
1291,창녀,ko
1292,포르노,ko
1293,하드코어,ko
1294,호로,ko
1295,화냥년,ko
1296,후레아들,ko
1297,후장,ko
1298,희쭈그리,ko
1299,aardappels afgieteng,nl
1300,achter het raam zitten,nl
1301,afberen,nl
1302,aflebberen,nl
1303,afrossen,nl
1304,afrukken,nl
1305,aftrekken,nl
1306,afwerkplaats,nl
1307,afzeiken,nl
1308,afzuigen,nl
1309,anderhalve man en een paardekop,nl
1310,anita,nl
1311,asbak,nl
1312,aso,nl
1313,bagger schijten,nl
1314,balen,nl
1315,bedonderen,nl
1316,befborstelg,nl
1317,beffen,nl
1318,bekken,nl
1319,belazeren,nl
1320,besodemieterd zijn,nl
1321,besodemieteren,nl
1322,beurt,nl
1323,boemelen,nl
1324,boerelul,nl
1325,boerenpummelg,nl
1326,bokkelul,nl
1327,botergeil,nl
1328,broekhoesten,nl
1329,brugpieperg,nl
1330,buffelen,nl
1331,buiten de pot piesen,nl
1332,da's kloten van de bok,nl
1333,de ballen,nl
1334,de hoer spelen,nl
1335,de hond uitlaten,nl
1336,de koffer induiken,nl
1337,delg,nl
1338,de pijp aan maarten geven,nl
1339,de pijp uitgaan,nl
1340,dombo,nl
1341,draaikontg,nl
1342,driehoog achter wonen,nl
1343,drolg,nl
1344,drooggeiler,nl
1345,droogkloot,nl
1346,een beurt geven,nl
1347,een nummertje maken,nl
1348,een wip maken,nl
1349,eikel,nl
1350,engerd,nl
1351,flamoes,nl
1352,flikken,nl
1353,flikker,nl
1354,gadverdamme,nl
1355,galbak,nl
1356,gat,nl
1357,gedoogzone,nl
1358,geilneef,nl
1359,gesodemieter,nl
1360,godverdomme,nl
1361,graftak,nl
1362,gras maaien,nl
1363,gratenkutg,nl
1364,greppeldel,nl
1365,griet,nl
1366,hoempert,nl
1367,hoer,nl
1368,hoerenbuurt,nl
1369,hoerenloper,nl
1370,hoerig,nl
1371,hol,nl
1372,hufter,nl
1373,huisdealer,nl
1374,johny,nl
1375,kanen,nl
1376,kettingzeugg,nl
1377,klaarkomen,nl
1378,klerebeer,nl
1379,klojo,nl
1380,klooien,nl
1381,klootjesvolk,nl
1382,klootoog,nl
1383,klootzak,nl
1384,kloten,nl
1385,knor,nl
1386,kontg,nl
1387,kontneuken,nl
1388,krentekakker,nl
1389,kut,nl
1390,kuttelikkertje,nl
1391,kwakkieg,nl
1392,liefdesgrot,nl
1393,lul,nl
1394,lul-de-behanger,nl
1395,lulhannes,nl
1396,mafketel,nl
1397,matennaaierg,nl
1398,matje,nl
1399,mof,nl
1400,mutsg,nl
1401,naaien,nl
1402,naakt,nl
1403,neuken,nl
1404,neukstier,nl
1405,nicht,nl
1406,oetlul,nl
1407,opgeilen,nl
1408,opkankeren,nl
1409,oprotten,nl
1410,opsodemieteren,nl
1411,op z'n hondjes,nl
1412,op z'n sodemieter geven,nl
1413,opzouten,nl
1414,ouwehoer,nl
1415,ouwehoeren,nl
1416,ouwe rukker,nl
1417,paal,nl
1418,paardelul,nl
1419,palen,nl
1420,penozeg,nl
1421,piesen,nl
1422,pijpbekkieg,nl
1423,pijpen,nl
1424,pleurislaaier,nl
1425,poep,nl
1426,poepen,nl
1427,poot,nl
1428,portiekslet,nl
1429,pot,nl
1430,potverdorie,nl
1431,publiciteitsgeil,nl
1432,raaskallen,nl
1433,reet,nl
1434,reetridder,nl
1435,"reet trappen, voor zijn",nl
1436,remsporeng,nl
1437,reutelen,nl
1438,rothoer,nl
1439,rotzak,nl
1440,rukhond,nl
1441,rukken,nl
1442,schatje,nl
1443,schijt,nl
1444,schijten,nl
1445,schoft,nl
1446,schuinsmarcheerder,nl
1447,slempen,nl
1448,sletg,nl
1449,sletterig,nl
1450,slik mijn zaad,nl
1451,snolg,nl
1452,spuiten,nl
1453,standje,nl
1454,standje-69g,nl
1455,stoephoer,nl
1456,stootje,nl
1457,strontg,nl
1458,sufferdg,nl
